Source,Target,Type,Id,Label,timeset,Weight
184915348,312923505,Directed,218,,,1
741084315354824704,312923505,Directed,232,,,1
807402985,312923505,Directed,233,,,1
127941159,312923505,Directed,272,,,1
127941159,724991849912500224,Directed,280,,,1
345959557,312923505,Directed,302,,,1
4595210716,312923505,Directed,312,,,1
4197828167,312923505,Directed,404,,,1
2319243515,312923505,Directed,411,,,1
824995900284076033,312923505,Directed,421,,,3
3359467833,312923505,Directed,487,,,1
857006347380027395,312923505,Directed,527,,,2
262334257,312923505,Directed,589,,,1
4069763853,724991849912500224,Directed,620,,,1
2767329246,312923505,Directed,627,,,1
227514986,312923505,Directed,680,,,1
781512342232240128,312923505,Directed,702,,,1
812675495091470346,312923505,Directed,707,,,1
811608886063091712,312923505,Directed,717,,,1
811608886063091712,724991849912500224,Directed,729,,,1
941267524922040320,312923505,Directed,734,,,1
3534279627,312923505,Directed,738,,,1
4160526543,312923505,Directed,754,,,1
238221519,312923505,Directed,769,,,1
764602006203928576,724991849912500224,Directed,776,,,1
397760744,312923505,Directed,834,,,1
824995900284076033,724991849912500224,Directed,856,,,2
609771750,724991849912500224,Directed,1037,,,1
4729318888,312923505,Directed,1043,,,1
1469391320,312923505,Directed,1062,,,1
716797403920261121,312923505,Directed,1065,,,1
726944587969912832,724991849912500224,Directed,1158,,,1
149238850,312923505,Directed,1218,,,1
149238850,724991849912500224,Directed,1221,,,1
1424303635,312923505,Directed,1229,,,1
3405190318,724991849912500224,Directed,1244,,,1
3405190318,312923505,Directed,1248,,,2
3893850623,724991849912500224,Directed,1260,,,1
185707814,312923505,Directed,1265,,,1
398475210,312923505,Directed,1326,,,1
51559571,312923505,Directed,1343,,,1
912452463411761153,312923505,Directed,1345,,,1
204058629,724991849912500224,Directed,1347,,,1
204058629,312923505,Directed,1352,,,1
724762789743566848,724991849912500224,Directed,1435,,,2
724762789743566848,312923505,Directed,1440,,,1
169858964,312923505,Directed,1468,,,1
252761388,312923505,Directed,1469,,,1
791419202515169281,312923505,Directed,1475,,,1
201714720,312923505,Directed,1485,,,1
188494932,312923505,Directed,1498,,,1
349849531,312923505,Directed,1515,,,1
2351197518,312923505,Directed,1531,,,1
812675495091470346,724991849912500224,Directed,1564,,,1
237504868,312923505,Directed,1592,,,1
745234351433089025,312923505,Directed,1605,,,1
150673380,312923505,Directed,1635,,,1
922227546393137154,312923505,Directed,1663,,,1
482934272,312923505,Directed,1665,,,1
4774247901,312923505,Directed,1683,,,1
886351599387496452,312923505,Directed,1689,,,1
912693859448127488,312923505,Directed,1721,,,1
2712820752,519497576,Directed,1793,,,1
166506608,312923505,Directed,1807,,,1
62911192,519497576,Directed,1834,,,1
2831654913,312923505,Directed,1848,,,1
845838285155041283,724991849912500224,Directed,1851,,,2
4498410291,312923505,Directed,1855,,,1
127967806,312923505,Directed,1875,,,1
62911192,312923505,Directed,1922,,,1
845838285155041283,312923505,Directed,1968,,,3
749777565167001600,312923505,Directed,1987,,,3
311039191,724991849912500224,Directed,2020,,,1
311039191,312923505,Directed,2022,,,1
101514709,312923505,Directed,2044,,,1
4774247901,724991849912500224,Directed,2060,,,1
208560456,312923505,Directed,2087,,,1
926944623116812289,312923505,Directed,2206,,,1
819336076972228609,312923505,Directed,2209,,,1
297540685,312923505,Directed,2211,,,1
