('807402985', '312923505')
('345959557', '312923505')
('812675495091470346', '312923505')
('811608886063091712', '312923505')
('941267524922040320', '312923505')
('4160526543', '312923505')
('51559571', '312923505')
('912452463411761153', '312923505')
('204058629', '312923505')
('252761388', '312923505')
('791419202515169281', '312923505')
('237504868', '312923505')
('922227546393137154', '312923505')
('4774247901', '312923505')
('886351599387496452', '312923505')
('2831654913', '312923505')
('4498410291', '312923505')
('127967806', '312923505')
('845838285155041283', '312923505')
('297540685', '312923505')
('767205584022147072', '312923505')
('139720630', '312923505')
('724773661', '312923505')
('2500762786', '312923505')
('859896935884480513', '312923505')
('932058905798168576', '312923505')
('713439511846522880', '312923505')
('32401333', '312923505')
('120799500', '312923505')
('4189674106', '312923505')
('778388845989597185', '312923505')
('1556948144', '312923505')
('933067236704751618', '312923505')
('4279897774', '312923505')
('780468668450897920', '312923505')
('186497416', '312923505')
('1561472418', '312923505')
('764602006203928576', '312923505')
('789087324265218048', '312923505')
('898206273614827520', '312923505')
('2848334848', '312923505')
('159314702', '312923505')
('185001407', '312923505')
('908778127278698498', '312923505')
('851522926230867973', '312923505')
('2873933971', '312923505')
('853950045724520449', '312923505')
('2857568332', '312923505')
('4027552414', '312923505')
('4776573621', '312923505')
('345735538', '312923505')
('4842250497', '312923505')
('188481486', '312923505')
('775791715546501120', '312923505')
('3091350599', '312923505')
('883120119085453312', '312923505')
('229110007', '312923505')
('888200254297960448', '312923505')
('194164224', '312923505')
('432735624', '312923505')
('558803330', '312923505')
('2998737521', '312923505')
('204815058', '312923505')
('4069763853', '312923505')
('1355655282', '312923505')
('448542791', '312923505')
('208543060', '312923505')
('331042124', '312923505')
('4104075556', '312923505')
('823923668', '312923505')
('712039945695862790', '312923505')
('290254208', '312923505')
('267311995', '312923505')
('295993746', '312923505')
('731668275965394944', '312923505')
('1705649064', '312923505')
('914634354852327425', '312923505')
('3893850623', '312923505')
('860441228', '312923505')
('196435835', '312923505')
('711710889657962496', '312923505')
('521030283', '312923505')
('798840289', '312923505')
('753931777', '312923505')
('104495655', '312923505')
('3305098461', '312923505')
('424418331', '312923505')
('136469201', '312923505')
('753037993926127616', '312923505')
('1348193396', '312923505')
('877884232722501632', '312923505')
('619102560', '312923505')
('386726469', '312923505')
('1579053242', '312923505')
('933477381003730944', '312923505')
('150420242', '312923505')
('335395510', '312923505')
('4228795527', '312923505')
('3321680873', '312923505')
('2430722358', '312923505')
('2636121723', '312923505')
('3035696326', '312923505')
('935899801715138560', '312923505')
('2611454870', '312923505')
('1547119909', '312923505')
('833749314887360512', '312923505')
('1323389352', '312923505')
('810981060842491910', '312923505')
('776957220751806464', '312923505')
('433103947', '312923505')
('363951623', '312923505')
('3297264748', '312923505')
('890329942277447681', '312923505')
('523951502', '312923505')
