('184915348', '312923505')
('741084315354824704', '312923505')
('127941159', '312923505')
('4595210716', '312923505')
('4197828167', '312923505')
('2319243515', '312923505')
('824995900284076033', '312923505')
('3359467833', '312923505')
('857006347380027395', '312923505')
('262334257', '312923505')
('2767329246', '312923505')
('227514986', '312923505')
('781512342232240128', '312923505')
('3534279627', '312923505')
('397760744', '312923505')
('4729318888', '312923505')
('1469391320', '312923505')
('716797403920261121', '312923505')
('149238850', '312923505')
('1424303635', '312923505')
('3405190318', '312923505')
('185707814', '312923505')
('398475210', '312923505')
('724762789743566848', '312923505')
('169858964', '312923505')
('201714720', '312923505')
('188494932', '312923505')
('349849531', '312923505')
('2351197518', '312923505')
('745234351433089025', '312923505')
('150673380', '312923505')
('482934272', '312923505')
('912693859448127488', '312923505')
('166506608', '312923505')
('62911192', '312923505')
('749777565167001600', '312923505')
('311039191', '312923505')
('101514709', '312923505')
('208560456', '312923505')
('926944623116812289', '312923505')
('819336076972228609', '312923505')
('357403601', '312923505')
('609771750', '312923505')
('1442236609', '312923505')
('131370402', '312923505')
('2624356467', '312923505')
('2251900600', '312923505')
('196878260', '312923505')
('282677674', '312923505')
('1553916055', '312923505')
('172809723', '312923505')
('370953482', '312923505')
('2712820752', '312923505')
('4159891463', '312923505')
('2990206665', '312923505')
('2422349313', '312923505')
('714255642291265536', '312923505')
('709911025081065476', '312923505')
('164299710', '312923505')
('3104881461', '312923505')
('41113764', '312923505')
('950279562', '312923505')
('8952422', '312923505')
('866778464044675072', '312923505')
('4486646963', '312923505')
('1725800208', '312923505')
('4028708099', '312923505')
('835174907700969473', '312923505')
('169290793', '312923505')
('707161777742749696', '312923505')
('3251273773', '312923505')
('70572624', '312923505')
('914688199938707456', '312923505')
('887026117198180355', '312923505')
('212323455', '312923505')
('987784782', '312923505')
('736806010287968256', '312923505')
('59787383', '312923505')
('947960308433375235', '312923505')
('2834926876', '312923505')
('1428907849', '312923505')
('3418221148', '312923505')
('143600737', '312923505')
('513753242', '312923505')
('226029875', '312923505')
('202668470', '312923505')
('241760841', '312923505')
('4778203041', '312923505')
('2769280281', '312923505')
('903382742498500608', '312923505')
('725020471457095680', '312923505')
('907602732906946561', '312923505')
('874067055292665858', '312923505')
('243827202', '312923505')
('2452167668', '312923505')
('893813475289559040', '312923505')
('3511937957', '312923505')
('3930961283', '312923505')
('781849538931879940', '312923505')
('2162459267', '312923505')
('189200519', '312923505')
('131361976', '312923505')
('1858885386', '312923505')
('706585919353200642', '312923505')
('164884070', '312923505')
('833165915038560256', '312923505')
('156063526', '312923505')
('726944587969912832', '312923505')
('2337452678', '312923505')
('3394747493', '312923505')
('709039606596046848', '312923505')
('893784858', '312923505')
('341041332', '312923505')
('4085725755', '312923505')
('851544650397691907', '312923505')
('147729745', '312923505')
('2475987276', '312923505')
('186645805', '312923505')
('4822831642', '312923505')
('976971481', '312923505')
('2729201739', '312923505')
('4588868777', '312923505')
('891526190951010306', '312923505')
('888746710670946304', '312923505')
('154913302', '312923505')
('195855213', '312923505')
('2588666262', '312923505')
('954328143002787840', '312923505')
('850717135378710528', '312923505')
('1883863634', '312923505')
('441761805', '312923505')
('92590985', '312923505')
('157523545', '312923505')
('150281286', '312923505')
('157795806', '312923505')
('824285707', '312923505')
('195873510', '312923505')
('247598381', '312923505')
('745019695074533376', '312923505')
('283772153', '312923505')
('149177403', '312923505')
('905566472524754944', '312923505')
('1137317694', '312923505')
('280236873', '312923505')
('717384984072478720', '312923505')
('4768252536', '312923505')
('204968312', '312923505')
('3348001539', '312923505')
('1146768235', '312923505')
('826790347263078402', '312923505')
('421891736', '312923505')
('172952451', '312923505')
('634977000', '312923505')
('832007677291134981', '312923505')
('3384469000', '312923505')
('153547006', '312923505')
('60671640', '312923505')
('352247536', '312923505')
('868233547127115777', '312923505')
('1348237596', '312923505')
('776570401455562754', '312923505')
('517820139', '312923505')
('1888499617', '312923505')
('2280062120', '312923505')
('860307322651934720', '312923505')
('448499584', '312923505')
('130737724', '312923505')
('558650243', '312923505')
('186996193', '312923505')
('406196908', '312923505')
('4560672257', '312923505')
('733313929292701696', '312923505')
('3426053313', '312923505')
('873697938870067200', '312923505')
('1542328532', '312923505')
('190020281', '312923505')
('4293057442', '312923505')
('263127908', '312923505')
('1222427191', '312923505')
('3501392297', '312923505')
('2775975418', '312923505')
('4698565218', '312923505')
('746453947', '312923505')
('209778655', '312923505')
('4195191575', '312923505')
('577498259', '312923505')
('400902259', '312923505')
('1431189150', '312923505')
('153867477', '312923505')
('836373831681966085', '312923505')
('790617182', '312923505')
('612017873', '312923505')
('614659117', '312923505')
('336382940', '312923505')
('4466104035', '312923505')
('138210581', '312923505')
('4561458511', '312923505')
('2242909302', '312923505')
('731987182743912449', '312923505')
('711661358488657920', '312923505')
('727234254376050689', '312923505')
('716399258', '312923505')
('187774234', '312923505')
('90762993', '312923505')
('1380895705', '312923505')
('146431317', '312923505')
('894473532', '312923505')
('90177174', '312923505')
('868103332765851649', '312923505')
('928591533208727552', '312923505')
('1096915514', '312923505')
('1101532662', '312923505')
('4839826433', '312923505')
('159179757', '312923505')
('1289288647', '312923505')
('953615537107537921', '312923505')
('1931389867', '312923505')
('3645151637', '312923505')
('359535812', '312923505')
('259085368', '312923505')
('129560038', '312923505')
('861827108', '312923505')
('141352615', '312923505')
('334967590', '312923505')
('886274510944645120', '312923505')
('149686901', '312923505')
('1441251919', '312923505')
('4155125655', '312923505')
('88798454', '312923505')
('3984004577', '312923505')
('805022684887318528', '312923505')
('288414596', '312923505')
('370256146', '312923505')
('174923322', '312923505')
('929742247', '312923505')
('816043171', '312923505')
('3050749383', '312923505')
('200357117', '312923505')
('2358450756', '312923505')
