Source,Target,Type,Id,Label,timeset,Weight
704104996250505216,134910253,Directed,86,,,1
952742841993908224,134910253,Directed,135,,,1
2966053785,134910253,Directed,249,,,1
127941159,134910253,Directed,274,,,1
1706487511,134910253,Directed,281,,,1
4656584302,134910253,Directed,284,,,1
3073998212,134910253,Directed,386,,,1
2396285336,134910253,Directed,392,,,1
816828851837931520,134910253,Directed,405,,,1
603066867,134910253,Directed,444,,,1
185262862,134910253,Directed,465,,,1
3359467833,134910253,Directed,486,,,1
876856419231911936,134910253,Directed,505,,,1
722924929,134910253,Directed,524,,,1
4560672257,134910253,Directed,607,,,1
3342162063,134910253,Directed,623,,,1
770019570,134910253,Directed,645,,,1
337438605,134910253,Directed,658,,,1
933487861,134910253,Directed,670,,,1
2831911661,134910253,Directed,685,,,1
154643667,134910253,Directed,689,,,1
811608886063091712,134910253,Directed,719,,,1
157748573,134910253,Directed,756,,,1
3690995056,134910253,Directed,777,,,1
981386480,134910253,Directed,784,,,1
292033501,134910253,Directed,786,,,1
319427052,134910253,Directed,812,,,1
2716204655,134910253,Directed,885,,,1
388623466,134910253,Directed,895,,,1
950656216518283264,134910253,Directed,905,,,1
543682037,134910253,Directed,908,,,1
3296568033,134910253,Directed,980,,,1
161719384,134910253,Directed,1017,,,1
3199062321,134910253,Directed,1032,,,1
732283984382693381,134910253,Directed,1063,,,1
824057368166207489,134910253,Directed,1080,,,1
929956723074437120,134910253,Directed,1106,,,1
146633985,134910253,Directed,1200,,,1
340132007,134910253,Directed,1205,,,1
149238850,134910253,Directed,1219,,,1
715714868867952641,134910253,Directed,1257,,,1
700872790136651776,134910253,Directed,1309,,,1
204058629,134910253,Directed,1356,,,1
734074677593833472,134910253,Directed,1368,,,1
4197260183,134910253,Directed,1369,,,1
808092704701906945,134910253,Directed,1397,,,1
4769711247,134910253,Directed,1401,,,1
186979290,134910253,Directed,1411,,,1
724762789743566848,134910253,Directed,1421,,,1
443729655,134910253,Directed,1446,,,1
753395922621632513,134910253,Directed,1458,,,1
290805227,134910253,Directed,1461,,,1
2713300481,134910253,Directed,1481,,,1
812675495091470346,134910253,Directed,1539,,,1
775791715546501120,134910253,Directed,1558,,,1
4779383416,134910253,Directed,1559,,,1
942724724576194560,134910253,Directed,1574,,,1
791842760529764353,134910253,Directed,1623,,,1
937725071241687040,134910253,Directed,1637,,,1
280579209,134910253,Directed,1696,,,1
176788832,134910253,Directed,1808,,,1
163882660,134910253,Directed,1910,,,1
2482931576,134910253,Directed,1985,,,1
616420233,134910253,Directed,2015,,,1
994048825,134910253,Directed,2051,,,1
196586004,134910253,Directed,2130,,,1
3437565274,134910253,Directed,2213,,,1
2652476147,134910253,Directed,2240,,,1
4591129641,134910253,Directed,2300,,,1
877884232722501632,134910253,Directed,2322,,,1
1921185799,134910253,Directed,2374,,,1
1141262652,134910253,Directed,2383,,,1
1081917078,134910253,Directed,2396,,,1
