('2396285336', '134910253')
('185262862', '134910253')
('4560672257', '134910253')
('3342162063', '134910253')
('770019570', '134910253')
('933487861', '134910253')
('811608886063091712', '134910253')
('824057368166207489', '134910253')
('715714868867952641', '134910253')
('204058629', '134910253')
('734074677593833472', '134910253')
('4769711247', '134910253')
('290805227', '134910253')
('2652476147', '134910253')
('877884232722501632', '134910253')
('3063523700', '134910253')
('163729899', '134910253')
('532387753', '134910253')
('244756469', '134910253')
('176967475', '134910253')
('766642477', '134910253')
('818860255899688962', '134910253')
('550638209', '134910253')
('233571003', '134910253')
('853950045724520449', '134910253')
('953615537107537921', '134910253')
('109449033', '134910253')
('804076303548870657', '134910253')
('237504868', '134910253')
('2278210369', '134910253')
('947865172445663232', '134910253')
('920475040843489280', '134910253')
('448542791', '134910253')
('923740022704091136', '134910253')
('848338386255589378', '134910253')
('441761805', '134910253')
('2367781093', '134910253')
('290254208', '134910253')
('295993746', '134910253')
('2992085409', '134910253')
('3304640835', '134910253')
('3214780971', '134910253')
('1936579573', '134910253')
('619432463', '134910253')
('150264310', '134910253')
('1200163345', '134910253')
('146937950', '134910253')
('2996259340', '134910253')
('1558640634', '134910253')
('752999986036674560', '134910253')
('127045367', '134910253')
('753931777', '134910253')
('940740875361116161', '134910253')
('929572512274542593', '134910253')
('131144050', '134910253')
('157489005', '134910253')
('492371050', '134910253')
('326999883', '134910253')
('701768610', '134910253')
('2242909302', '134910253')
('3372620381', '134910253')
('2611454870', '134910253')
('1458246122', '134910253')
('2170105455', '134910253')
('730808924052414464', '134910253')
('353959875', '134910253')
('226561190', '134910253')
('1528822513', '134910253')
