('704104996250505216', '134910253')
('952742841993908224', '134910253')
('2966053785', '134910253')
('127941159', '134910253')
('1706487511', '134910253')
('4656584302', '134910253')
('3073998212', '134910253')
('816828851837931520', '134910253')
('603066867', '134910253')
('3359467833', '134910253')
('876856419231911936', '134910253')
('722924929', '134910253')
('337438605', '134910253')
('2831911661', '134910253')
('154643667', '134910253')
('157748573', '134910253')
('3690995056', '134910253')
('981386480', '134910253')
('292033501', '134910253')
('319427052', '134910253')
('2716204655', '134910253')
('388623466', '134910253')
('950656216518283264', '134910253')
('543682037', '134910253')
('3296568033', '134910253')
('161719384', '134910253')
('3199062321', '134910253')
('732283984382693381', '134910253')
('929956723074437120', '134910253')
('146633985', '134910253')
('340132007', '134910253')
('149238850', '134910253')
('700872790136651776', '134910253')
('4197260183', '134910253')
('808092704701906945', '134910253')
('186979290', '134910253')
('724762789743566848', '134910253')
('443729655', '134910253')
('753395922621632513', '134910253')
('2713300481', '134910253')
('812675495091470346', '134910253')
('775791715546501120', '134910253')
('4779383416', '134910253')
('942724724576194560', '134910253')
('791842760529764353', '134910253')
('937725071241687040', '134910253')
('280579209', '134910253')
('176788832', '134910253')
('163882660', '134910253')
('2482931576', '134910253')
('616420233', '134910253')
('994048825', '134910253')
('196586004', '134910253')
('3437565274', '134910253')
('4591129641', '134910253')
('1921185799', '134910253')
('1141262652', '134910253')
('1081917078', '134910253')
('794824418', '134910253')
('4828187924', '134910253')
('925516383651356673', '134910253')
('174831487', '134910253')
('382582233', '134910253')
('250621136', '134910253')
('383948382', '134910253')
('4318644994', '134910253')
('833907972', '134910253')
('284972761', '134910253')
('1592273498', '134910253')
('1553916055', '134910253')
('792457828032217089', '134910253')
('3435066004', '134910253')
('4159891463', '134910253')
('352814371', '134910253')
('375663988', '134910253')
('2773220135', '134910253')
('431614583', '134910253')
('714255642291265536', '134910253')
('185032089', '134910253')
('778388845989597185', '134910253')
('162762974', '134910253')
('711710889657962496', '134910253')
('150257473', '134910253')
('3251273773', '134910253')
('2350956690', '134910253')
('2857667871', '134910253')
('3152635313', '134910253')
('322974571', '134910253')
('4585671976', '134910253')
('212323455', '134910253')
('4342240341', '134910253')
('1666591518', '134910253')
('861827108', '134910253')
('1110209360', '134910253')
('816727661829640203', '134910253')
('1122134748', '134910253')
('40328961', '134910253')
('839244108040372226', '134910253')
('740659323991396352', '134910253')
('839215976176631813', '134910253')
('4814754022', '134910253')
('887398396386004996', '134910253')
('2649509616', '134910253')
('905620672445079552', '134910253')
('888909833424035842', '134910253')
('52481755', '134910253')
('1246281523', '134910253')
('908778127278698498', '134910253')
('4326005728', '134910253')
('2205950088', '134910253')
('4301775809', '134910253')
('2873933971', '134910253')
('112223311', '134910253')
('893813475289559040', '134910253')
('3511937957', '134910253')
('4835574352', '134910253')
('2824412461', '134910253')
('580168745', '134910253')
('464075221', '134910253')
('1469391320', '134910253')
('82454608', '134910253')
('708595913', '134910253')
('2162459267', '134910253')
('762358559220826112', '134910253')
('59787383', '134910253')
('188481486', '134910253')
('781849538931879940', '134910253')
('916360172313997312', '134910253')
('2517246844', '134910253')
('754472967363502081', '134910253')
('1286607618', '134910253')
('2337452678', '134910253')
('1250184524', '134910253')
('3080457675', '134910253')
('3918688756', '134910253')
('42329282', '134910253')
('622389534', '134910253')
('145779595', '134910253')
('1123393231', '134910253')
('927338006964572161', '134910253')
('887026117198180355', '134910253')
('721154608576491520', '134910253')
('1521997134', '134910253')
('4822831642', '134910253')
('1426707871', '134910253')
('888746710670946304', '134910253')
('785121685573885953', '134910253')
('3259163038', '134910253')
('954328143002787840', '134910253')
('888917882821849088', '134910253')
('183454242', '134910253')
('150281286', '134910253')
('1129395656', '134910253')
('363074665', '134910253')
('811811996', '134910253')
('186593162', '134910253')
('1184464806', '134910253')
('247598381', '134910253')
('955238498612768768', '134910253')
('740267968790155264', '134910253')
('185905083', '134910253')
('3930961283', '134910253')
('896538651961819137', '134910253')
('1243885920', '134910253')
('898590640677801985', '134910253')
('180435933', '134910253')
('208577217', '134910253')
('332520214', '134910253')
('1348193396', '134910253')
('187738320', '134910253')
('3296593411', '134910253')
('186685625', '134910253')
('905566472524754944', '134910253')
('137571616', '134910253')
('2736098224', '134910253')
('156253838', '134910253')
('3154507437', '134910253')
('475708025', '134910253')
('105826958', '134910253')
('944000141870161921', '134910253')
('3893850623', '134910253')
('496500008', '134910253')
('832007677291134981', '134910253')
('201851041', '134910253')
('211118830', '134910253')
('902884315058634753', '134910253')
('812100264916295680', '134910253')
('2575696996', '134910253')
('545531261', '134910253')
('1488808646', '134910253')
('812910468352315393', '134910253')
('198764222', '134910253')
('760283410900328448', '134910253')
('180922573', '134910253')
('188524624', '134910253')
('1542328532', '134910253')
('733765978279010304', '134910253')
('370256146', '134910253')
('77411378', '134910253')
('792576413371072512', '134910253')
('173161966', '134910253')
('209778655', '134910253')
('853812623946731525', '134910253')
('2554914156', '134910253')
('1705896174', '134910253')
('131370402', '134910253')
('285309264', '134910253')
('206321699', '134910253')
('704395058125152257', '134910253')
('185867553', '134910253')
('4483089135', '134910253')
('1463006352', '134910253')
('475550088', '134910253')
('932356505722122243', '134910253')
('727234254376050689', '134910253')
('4839826433', '134910253')
('1957260181', '134910253')
('205863451', '134910253')
('192008948', '134910253')
('483255593', '134910253')
('203159416', '134910253')
('155048609', '134910253')
('208406441', '134910253')
('4919277537', '134910253')
('364438340', '134910253')
('183366080', '134910253')
('619102560', '134910253')
('2966141290', '134910253')
('877742169972461573', '134910253')
('2477557506', '134910253')
('117485900', '134910253')
('175822449', '134910253')
('4924373523', '134910253')
('2583177608', '134910253')
('2319456511', '134910253')
('187805337', '134910253')
('614659117', '134910253')
('448499584', '134910253')
('199679598', '134910253')
('188137352', '134910253')
('1403982650', '134910253')
('923293047990968320', '134910253')
('838215425284587521', '134910253')
('4768252536', '134910253')
('2395547340', '134910253')
('842842621605302273', '134910253')
('527998156', '134910253')
('4255305209', '134910253')
('1146768235', '134910253')
('1635618080', '134910253')
('146431317', '134910253')
('3653455396', '134910253')
('881167176', '134910253')
('200357117', '134910253')
('3010300528', '134910253')
('868103332765851649', '134910253')
('90177174', '134910253')
('731968185868689408', '134910253')
('142521931', '134910253')
('935899801715138560', '134910253')
('276517334', '134910253')
('716695311343812609', '134910253')
('1625526020', '134910253')
('951651181', '134910253')
('885172794752987136', '134910253')
('628239218', '134910253')
('2940976978', '134910253')
('781998256939204608', '134910253')
('186900540', '134910253')
('703994168', '134910253')
('857564822795366400', '134910253')
('858301179188654080', '134910253')
('4269204976', '134910253')
('956136932546838528', '134910253')
('440967655', '134910253')
('781136275256578049', '134910253')
('4873896923', '134910253')
('4561573520', '134910253')
('195855213', '134910253')
('3083394412', '134910253')
('517820139', '134910253')
