Source,Target,Type,Id,Label,timeset,Weight
3176497301,39522911,Directed,87,,,2
77204215,39522911,Directed,683,,,1
2872868835,3234035197,Directed,1165,,,1
2872868835,39522911,Directed,1185,,,1
772109110309453824,62501888,Directed,1283,,,1
169457952,39522911,Directed,1353,,,1
4636584016,39522911,Directed,1734,,,1
4090582995,39522911,Directed,2202,,,1
2632787063,62501888,Directed,2376,,,1
779901232114700288,39522911,Directed,2475,,,1
706682050401718272,39522911,Directed,2622,,,1
4228467330,39522911,Directed,2659,,,1
64768118,45473463,Directed,2849,,,1
130602494,39522911,Directed,2937,,,1
2175935989,39522911,Directed,2963,,,1
4733932647,39522911,Directed,3584,,,1
35022515,45473463,Directed,3670,,,1
35022515,39522911,Directed,3776,,,2
855167058585296896,45473463,Directed,3803,,,1
2632787063,39522911,Directed,3850,,,2
873381741490302981,39522911,Directed,3978,,,1
316568554,39522911,Directed,3981,,,1
731971002817744896,39522911,Directed,4560,,,6
946456171933822978,857355568272601089,Directed,4654,,,1
3130421673,39522911,Directed,4941,,,1
146078797,39522911,Directed,5068,,,1
257289810,14839920,Directed,5180,,,1
896229698933583872,39522911,Directed,5261,,,1
1587234918,39522911,Directed,5280,,,6
908325427739062274,45473463,Directed,5768,,,1
191691141,39522911,Directed,5902,,,1
191691141,62501888,Directed,5921,,,1
884921137934860288,39522911,Directed,6004,,,1
2176325032,39522911,Directed,6493,,,4
151565236,39522911,Directed,6607,,,1
107529978,45473463,Directed,6968,,,1
1645736942,45473463,Directed,7269,,,1
510785636,80346080,Directed,7275,,,1
64768118,80346080,Directed,7344,,,2
250252229,39522911,Directed,7455,,,1
244756469,39522911,Directed,7623,,,1
465822053,39522911,Directed,7824,,,1
143873568,133949650,Directed,7826,,,1
3374102145,39522911,Directed,7855,,,1
14839920,39522911,Directed,7917,,,1
711289467198377985,39522911,Directed,8320,,,1
3092572929,39522911,Directed,8482,,,1
4492805597,39522911,Directed,8485,,,4
732026901720666112,39522911,Directed,8609,,,1
132583409,45473463,Directed,8946,,,1
2735183691,39522911,Directed,9086,,,1
2735183691,62501888,Directed,9098,,,1
80346080,62501888,Directed,9140,,,1
74198459,39522911,Directed,9315,,,1
884921137934860288,45473463,Directed,9418,,,1
578088310,39522911,Directed,9436,,,1
935034935290851328,45473463,Directed,9576,,,1
2327081116,39522911,Directed,9580,,,1
946441457229074432,45473463,Directed,9581,,,3
946441457229074432,39522911,Directed,9602,,,1
1347874969,45473463,Directed,9609,,,1
946441457229074432,62501888,Directed,9724,,,1
883475357176934401,39522911,Directed,9800,,,1
3130421673,45473463,Directed,9932,,,1
2327081116,45473463,Directed,9943,,,1
2815094911,39522911,Directed,10218,,,1
3383119425,45473463,Directed,10280,,,1
813001105919668226,39522911,Directed,10428,,,1
772109110309453824,39522911,Directed,10472,,,2
3383119425,39522911,Directed,10822,,,1
247023879,39522911,Directed,10859,,,1
3711528923,39522911,Directed,11088,,,1
1120849998,39522911,Directed,11191,,,1
26041712,39522911,Directed,11233,,,1
103695890,39522911,Directed,11250,,,1
4127008102,39522911,Directed,11256,,,1
1347874969,249754056,Directed,11376,,,1
410319755,84181284,Directed,11456,,,1
83176160,39522911,Directed,11480,,,1
399616199,39522911,Directed,11524,,,2
219290823,39522911,Directed,11533,,,1
39522911,62501888,Directed,11571,,,1
132583409,39522911,Directed,11627,,,1
84181284,39522911,Directed,11671,,,1
2407715149,39522911,Directed,11743,,,1
107529978,39522911,Directed,11778,,,1
956158400668274695,39522911,Directed,11809,,,1
3317618397,39522911,Directed,11818,,,2
1631022972,39522911,Directed,11831,,,1
1527912313,39522911,Directed,11844,,,1
2750313725,39522911,Directed,11846,,,1
1347969008,39522911,Directed,11854,,,1
463968164,39522911,Directed,11859,,,1
1347969008,62501888,Directed,11861,,,1
4813899081,39522911,Directed,11886,,,1
319687076,39522911,Directed,11961,,,1
138620719,39522911,Directed,11963,,,1
180139920,39522911,Directed,12029,,,1
84181284,2771281503,Directed,12037,,,1
231990260,39522911,Directed,12049,,,1
37663910,39522911,Directed,12059,,,1
349189254,39522911,Directed,12088,,,1
349189254,62501888,Directed,12092,,,1
2632787063,1347874969,Directed,12113,,,1
1577699796,39522911,Directed,12124,,,1
880806972173553665,39522911,Directed,12184,,,1
176117262,39522911,Directed,12248,,,1
2264759232,39522911,Directed,12300,,,1
67489089,39522911,Directed,12305,,,1
363033684,39522911,Directed,12372,,,1
257289810,62501888,Directed,12390,,,1
269058006,39522911,Directed,12391,,,1
257289810,39522911,Directed,12400,,,1
141404213,39522911,Directed,12412,,,1
912119647679414274,39522911,Directed,12494,,,1
935034935290851328,39522911,Directed,12529,,,1
132232871,39522911,Directed,12536,,,1
499477199,39522911,Directed,12560,,,1
125754512,39522911,Directed,12585,,,1
136806779,39522911,Directed,12594,,,1
726374280,39522911,Directed,12600,,,1
575718075,39522911,Directed,12621,,,1
761805494,62501888,Directed,12661,,,1
761805494,39522911,Directed,12664,,,1
1961296898,2771281503,Directed,12687,,,1
2935705853,39522911,Directed,12702,,,1
3307672637,39522911,Directed,12763,,,1
934813806345236480,39522911,Directed,12808,,,1
2407715149,62501888,Directed,12854,,,1
64768118,39522911,Directed,12876,,,1
80346080,39522911,Directed,12883,,,1
58238548,39522911,Directed,12926,,,1
55066053,39522911,Directed,12942,,,1
2816911089,39522911,Directed,12943,,,1
824325825642299395,39522911,Directed,12980,,,1
193721512,39522911,Directed,12982,,,1
3234035197,39522911,Directed,12992,,,1
379507309,39522911,Directed,13014,,,1
4505111913,62501888,Directed,13024,,,1
1037974070,62501888,Directed,13043,,,1
1037974070,39522911,Directed,13046,,,1
2771281503,39522911,Directed,13050,,,1
809123748590850048,39522911,Directed,13051,,,1
4505111913,39522911,Directed,13052,,,1
3109093719,62501888,Directed,13067,,,1
886334141813456896,39522911,Directed,13069,,,1
410319755,39522911,Directed,13070,,,1
3109093719,39522911,Directed,13071,,,1
1006248133,62501888,Directed,13103,,,1
810647326297624580,1347874969,Directed,13115,,,1
1006248133,39522911,Directed,13123,,,1
810647326297624580,39522911,Directed,13139,,,1
810647326297624580,62501888,Directed,13142,,,1
4252843180,39522911,Directed,13148,,,1
2798931510,39522911,Directed,13160,,,1
885728909140140033,39522911,Directed,13182,,,1
