Source,Target,Type,Id,Label,timeset,Weight
142330439,198883031,Directed,46,,,1
138630140,198883031,Directed,48,,,1
278675852,198883031,Directed,225,,,1
888209840044158976,198883031,Directed,234,,,1
1557056743,198883031,Directed,275,,,1
4487692163,198883031,Directed,337,,,1
2317821745,198883031,Directed,384,,,1
307994259,198883031,Directed,387,,,1
169489211,198883031,Directed,388,,,1
787239459771322368,198883031,Directed,390,,,1
182358769,198883031,Directed,412,,,1
3419991129,198883031,Directed,508,,,1
3039187677,198883031,Directed,644,,,1
2752272437,198883031,Directed,648,,,1
941267524922040320,198883031,Directed,698,,,1
781136275256578049,198883031,Directed,746,,,1
179743566,198883031,Directed,790,,,1
2449559556,198883031,Directed,804,,,1
818640401460502528,198883031,Directed,808,,,1
849493242,198883031,Directed,829,,,1
932578639023091712,198883031,Directed,838,,,1
1405773270,198883031,Directed,841,,,1
731682139268349952,198883031,Directed,922,,,1
788139401532538880,198883031,Directed,924,,,1
835935778530344960,198883031,Directed,925,,,1
49970054,198883031,Directed,938,,,1
4584266555,198883031,Directed,946,,,1
4707533116,198883031,Directed,955,,,1
1020693698,198883031,Directed,1084,,,1
3368186764,198883031,Directed,1092,,,1
709911025081065476,198883031,Directed,1150,,,1
2884879569,198883031,Directed,1194,,,1
2968916219,198883031,Directed,1196,,,1
149238850,198883031,Directed,1220,,,1
1248467324,198883031,Directed,1226,,,1
2278282993,198883031,Directed,1227,,,1
2584471975,198883031,Directed,1246,,,1
2215036334,198883031,Directed,1291,,,1
927268608639631365,198883031,Directed,1299,,,1
2162459267,198883031,Directed,1323,,,1
150030377,198883031,Directed,1387,,,1
723083976,198883031,Directed,1405,,,1
4777699763,198883031,Directed,1414,,,1
2756293039,198883031,Directed,1439,,,1
2861732110,198883031,Directed,1488,,,1
1223154906,198883031,Directed,1495,,,1
814717989694164993,198883031,Directed,1579,,,1
3172685669,198883031,Directed,1581,,,1
4691081492,198883031,Directed,1600,,,1
3421061763,198883031,Directed,1618,,,1
4778142569,198883031,Directed,1630,,,1
711529935412838401,198883031,Directed,1710,,,1
2940224644,198883031,Directed,1815,,,1
776423706402971648,198883031,Directed,1835,,,1
926609728280637440,198883031,Directed,1849,,,1
96592659,198883031,Directed,1886,,,1
131144050,198883031,Directed,1943,,,1
812161620545851392,198883031,Directed,1964,,,1
784222100563304448,198883031,Directed,2019,,,1
199775295,198883031,Directed,2239,,,1
2733490341,198883031,Directed,2251,,,1
199038582,198883031,Directed,2272,,,1
4863668801,198883031,Directed,2356,,,1
831612278042742784,198883031,Directed,2424,,,1
4748257396,198883031,Directed,2492,,,1
916158884271796224,198883031,Directed,2527,,,1
3077578797,198883031,Directed,2551,,,1
1723003434,198883031,Directed,2575,,,1
2773220135,198883031,Directed,2612,,,1
3063523700,198883031,Directed,2614,,,1
2171347651,198883031,Directed,2632,,,1
850735564131356674,198883031,Directed,2634,,,1
1547353945,198883031,Directed,2642,,,1
2422349313,198883031,Directed,2729,,,1
709911025081065476,4707533116,Directed,2773,,,1
714255642291265536,198883031,Directed,2774,,,1
804815344422551552,198883031,Directed,2814,,,1
2736098224,4707533116,Directed,2972,,,1
4195171642,198883031,Directed,3007,,,1
1365607806,198883031,Directed,3058,,,1
826563712710483968,198883031,Directed,3060,,,1
2564470973,198883031,Directed,3075,,,1
2294702125,4707533116,Directed,3226,,,1
937484386794078209,198883031,Directed,3265,,,1
2857667871,198883031,Directed,3266,,,1
383948382,198883031,Directed,3290,,,1
4870756271,198883031,Directed,3337,,,1
2861715868,198883031,Directed,3443,,,1
3350715423,198883031,Directed,3485,,,1
195978055,198883031,Directed,3495,,,1
167996408,198883031,Directed,3594,,,1
167996408,4707533116,Directed,3618,,,1
888746710670946304,4707533116,Directed,3666,,,1
586437064,198883031,Directed,3792,,,1
343039238,198883031,Directed,3819,,,1
716282224,198883031,Directed,3922,,,1
628854581,198883031,Directed,3931,,,1
740267968790155264,4707533116,Directed,4018,,,1
356984416,198883031,Directed,4062,,,1
187234192,4707533116,Directed,4083,,,1
513753242,198883031,Directed,4103,,,1
716282224,4707533116,Directed,4127,,,1
913431973766582272,198883031,Directed,4129,,,1
186670739,198883031,Directed,4155,,,1
2752272437,4707533116,Directed,4172,,,1
1389423794,198883031,Directed,4221,,,1
802575865364303872,198883031,Directed,4239,,,1
856709258137808896,198883031,Directed,4265,,,1
219310568,198883031,Directed,4585,,,1
908778127278698498,198883031,Directed,4598,,,1
4873896923,4707533116,Directed,4606,,,3
2162459267,4707533116,Directed,4628,,,1
201134526,198883031,Directed,4707,,,1
936221535727226881,198883031,Directed,4720,,,1
900937727612395521,198883031,Directed,4809,,,1
213805777,198883031,Directed,4816,,,1
209274783,198883031,Directed,4850,,,1
2765706388,198883031,Directed,4970,,,1
