Source,Target,Type,Id,Label,timeset,Weight
816269580607819776,50038380,Directed,495,,,1
3972533235,50038380,Directed,656,,,1
884921137934860288,2172348015,Directed,733,,,1
170498695,50038380,Directed,1462,,,2
2882817201,50038380,Directed,1794,,,1
567789577,50038380,Directed,1821,,,1
130233687,50038380,Directed,1898,,,1
96225988,50038380,Directed,2197,,,1
936048005769293825,50038380,Directed,2293,,,1
323869833,50038380,Directed,2347,,,1
405852392,50038380,Directed,2769,,,1
768499690912514048,50038380,Directed,3328,,,1
802145396755693568,50038380,Directed,3459,,,1
92865851,50038380,Directed,3508,,,1
773998281106087936,50038380,Directed,3555,,,2
908325427739062274,50038380,Directed,3700,,,1
59229498,50038380,Directed,3916,,,2
4492805597,50038380,Directed,4241,,,1
2999414207,50038380,Directed,4318,,,2
724012157734641664,50038380,Directed,4346,,,1
2632787063,50038380,Directed,4644,,,1
4404211043,50038380,Directed,4880,,,2
336117114,50038380,Directed,4953,,,2
3048575879,50038380,Directed,5131,,,2
1128787717,50038380,Directed,5235,,,1
170373716,50038380,Directed,5345,,,1
3012732394,50038380,Directed,5354,,,1
111026086,50038380,Directed,5389,,,1
2445850688,50038380,Directed,5432,,,2
163450006,4187909913,Directed,5477,,,1
166657816,50038380,Directed,5542,,,1
298207476,50038380,Directed,5592,,,1
808846312154210304,50038380,Directed,5593,,,1
176618654,4187909913,Directed,5605,,,1
191144807,50038380,Directed,5617,,,1
2843475976,4187909913,Directed,5619,,,1
904914834910830593,4187909913,Directed,5665,,,1
163450006,50038380,Directed,5671,,,1
70429813,50038380,Directed,5836,,,1
1592323494,50038380,Directed,5841,,,1
92409494,50038380,Directed,6069,,,1
127220917,50038380,Directed,6106,,,1
2477971686,50038380,Directed,6204,,,1
386273245,50038380,Directed,6338,,,1
162407113,50038380,Directed,6434,,,1
104248955,50038380,Directed,6438,,,1
2735183691,50038380,Directed,6756,,,2
152601193,50038380,Directed,6763,,,1
3411789730,50038380,Directed,6781,,,1
4187909913,50038380,Directed,6792,,,1
478253368,50038380,Directed,6824,,,1
904914834910830593,50038380,Directed,6834,,,1
951796637533458433,50038380,Directed,6892,,,1
131971527,50038380,Directed,6923,,,1
189689217,50038380,Directed,6930,,,1
107529978,50038380,Directed,6996,,,1
786575697523400704,50038380,Directed,7009,,,1
1655742456,50038380,Directed,7053,,,2
1151388890,1151388890,Directed,7072,,,12
2863109616,50038380,Directed,7187,,,1
867617432613027840,50038380,Directed,7199,,,1
791731897969831936,50038380,Directed,7233,,,1
510785636,50038380,Directed,7282,,,1
736561771012608000,50038380,Directed,7291,,,1
706309953749958656,50038380,Directed,7294,,,1
541156738,50038380,Directed,7307,,,1
2720248632,50038380,Directed,7310,,,1
798641611915886592,50038380,Directed,7315,,,1
109549388,50038380,Directed,7330,,,1
33597643,50038380,Directed,7378,,,1
56831391,50038380,Directed,7390,,,1
64768118,50038380,Directed,7401,,,2
926085590768148480,50038380,Directed,7409,,,1
877934291648380928,50038380,Directed,7421,,,1
2771281503,50038380,Directed,7436,,,1
395011753,2172348015,Directed,7562,,,1
110926359,50038380,Directed,7570,,,1
49934787,50038380,Directed,7590,,,1
77373161,50038380,Directed,7629,,,1
321676643,50038380,Directed,7699,,,1
72173920,50038380,Directed,7711,,,1
3298716877,50038380,Directed,7793,,,1
319687076,50038380,Directed,7831,,,1
3005433635,50038380,Directed,7871,,,1
56477479,50038380,Directed,7894,,,1
862070322429911044,50038380,Directed,8236,,,1
178553405,885357788469354497,Directed,8272,,,1
115682530,50038380,Directed,8283,,,1
160042226,50038380,Directed,8286,,,1
872102932640133124,50038380,Directed,8335,,,1
575718075,50038380,Directed,8359,,,1
85688231,50038380,Directed,8369,,,1
2843475976,50038380,Directed,8434,,,1
3376516749,50038380,Directed,8481,,,1
55259370,885357788469354497,Directed,8515,,,2
853425882169569280,50038380,Directed,8675,,,1
1175409943,50038380,Directed,8752,,,1
81948392,50038380,Directed,8765,,,1
2172348015,73499343,Directed,8818,,,1
723331721123520513,885357788469354497,Directed,8947,,,1
178553405,50038380,Directed,8956,,,1
1626362498,50038380,Directed,8974,,,1
611347653,50038380,Directed,8986,,,1
908158210305126401,50038380,Directed,9005,,,1
134140812,50038380,Directed,9042,,,1
886334141813456896,50038380,Directed,9044,,,1
438810220,50038380,Directed,9048,,,1
56402542,50038380,Directed,9053,,,1
1210951297,50038380,Directed,9055,,,1
2735183691,4187909913,Directed,9094,,,1
760552135255810048,50038380,Directed,9097,,,1
27702071,50038380,Directed,9107,,,1
52076129,50038380,Directed,9156,,,1
944656393763729409,50038380,Directed,9228,,,1
125754512,50038380,Directed,9251,,,1
1150575792,50038380,Directed,9336,,,1
1901783222,50038380,Directed,9405,,,1
805566597943492609,50038380,Directed,9468,,,1
77872595,50038380,Directed,9519,,,1
884921137934860288,50038380,Directed,9525,,,1
333114079,50038380,Directed,9687,,,1
79823046,50038380,Directed,9703,,,1
381138769,50038380,Directed,9796,,,1
173667418,50038380,Directed,10012,,,1
314016045,50038380,Directed,10039,,,1
834562113444184064,50038380,Directed,10056,,,1
4680282296,50038380,Directed,10107,,,1
3130421673,50038380,Directed,10183,,,1
3459908543,50038380,Directed,10285,,,1
2931069172,50038380,Directed,10397,,,1
1151388890,50038380,Directed,10448,,,1
938900403177115649,50038380,Directed,10475,,,1
2249236136,50038380,Directed,10572,,,1
239337533,50038380,Directed,10574,,,1
47111437,50038380,Directed,10594,,,1
37271955,50038380,Directed,10635,,,1
73499343,50038380,Directed,10695,,,1
913448262023176192,50038380,Directed,10752,,,1
885357788469354497,50038380,Directed,10760,,,1
1318902962,50038380,Directed,10782,,,1
723331721123520513,50038380,Directed,10827,,,1
727652336022261760,50038380,Directed,10836,,,1
55259370,50038380,Directed,10896,,,1
152601193,2999414207,Directed,10917,,,1
352444593,50038380,Directed,11107,,,1
2612382714,50038380,Directed,11160,,,1
709786063326343168,50038380,Directed,11163,,,1
225151930,50038380,Directed,11255,,,1
885357788469354497,4187909913,Directed,11410,,,1
2999414207,84181284,Directed,11621,,,1
206538611,4187909913,Directed,11658,,,1
798966730156601344,50038380,Directed,11710,,,1
2836377093,50038380,Directed,11752,,,1
206538611,50038380,Directed,11757,,,1
772222904998256640,50038380,Directed,11811,,,1
355245360,4187909913,Directed,11857,,,1
556575612,2771281503,Directed,11969,,,1
84181284,2771281503,Directed,12037,,,1
1403421871,50038380,Directed,12041,,,1
761677564674973696,50038380,Directed,12046,,,1
1569732752,50038380,Directed,12062,,,1
182791486,50038380,Directed,12070,,,1
128962553,50038380,Directed,12080,,,1
176618654,50038380,Directed,12095,,,1
211489456,50038380,Directed,12107,,,1
187485444,50038380,Directed,12110,,,1
2980176958,50038380,Directed,12136,,,1
328267048,50038380,Directed,12137,,,1
349189254,50038380,Directed,12147,,,1
84181284,50038380,Directed,12173,,,1
440025326,50038380,Directed,12183,,,1
3378769901,50038380,Directed,12187,,,1
298226698,50038380,Directed,12195,,,1
48381235,50038380,Directed,12210,,,1
53750686,50038380,Directed,12309,,,1
257289810,50038380,Directed,12311,,,1
3109093719,50038380,Directed,12334,,,1
66897633,50038380,Directed,12366,,,1
75346366,50038380,Directed,12375,,,1
955160481878159360,50038380,Directed,12407,,,1
720086144315179008,50038380,Directed,12434,,,1
116245739,50038380,Directed,12468,,,1
1145960125,50038380,Directed,12473,,,1
112496128,50038380,Directed,12496,,,1
2186879582,50038380,Directed,12498,,,1
2768190147,50038380,Directed,12506,,,1
216434325,50038380,Directed,12537,,,1
405852392,2771281503,Directed,12540,,,1
431237786,50038380,Directed,12557,,,1
2334059695,50038380,Directed,12565,,,1
355245360,50038380,Directed,12575,,,1
809123748590850048,50038380,Directed,12588,,,1
377088447,50038380,Directed,12597,,,1
2546663869,50038380,Directed,12617,,,1
920085709310087168,50038380,Directed,12628,,,1
2172348015,50038380,Directed,12641,,,1
431237786,3048575879,Directed,12649,,,1
2172348015,3048575879,Directed,12659,,,2
2935262518,50038380,Directed,12683,,,1
3383123746,50038380,Directed,12684,,,1
2600362639,50038380,Directed,12692,,,1
3383123746,2823093927,Directed,12710,,,1
4290706468,50038380,Directed,12729,,,1
883475357176934401,50038380,Directed,12740,,,1
208069456,50038380,Directed,12778,,,1
842441466135904256,50038380,Directed,12811,,,1
3295763612,50038380,Directed,12829,,,1
73058790,50038380,Directed,12838,,,1
44700269,50038380,Directed,12884,,,1
111367316,50038380,Directed,12915,,,1
27702071,4187909913,Directed,12936,,,1
723508042805989376,50038380,Directed,12961,,,1
395011753,50038380,Directed,12968,,,1
86715989,50038380,Directed,13000,,,1
53037010,50038380,Directed,13006,,,1
556575612,50038380,Directed,13009,,,1
122757872,50038380,Directed,13031,,,1
2853238599,50038380,Directed,13037,,,1
4370247615,50038380,Directed,13057,,,1
89928048,50038380,Directed,13088,,,1
2823093927,50038380,Directed,13091,,,1
1527912313,50038380,Directed,13097,,,1
69712655,50038380,Directed,13112,,,1
49709719,50038380,Directed,13113,,,1
914516114973085697,50038380,Directed,13114,,,1
188116070,50038380,Directed,13117,,,1
52539016,50038380,Directed,13118,,,1
2798931510,50038380,Directed,13131,,,1
4144915997,50038380,Directed,13145,,,1
399395821,50038380,Directed,13146,,,1
