source,target
1924486236,40302603
2216901246,1540034828
68553627,1202130601
2258179825,51813111
932394234698747904,715426594689589248
143549803,2479861125
143549803,2479861125
15896379,25704704
979224253,851226362677514242
974432160017993728,63225060
1426591382,2479861125
3364230911,46099108
108076603,51813111
3561202341,1629241
451197551,259096331
2369299760,1540034828
2867143859,412639849
958701776219377664,113029811
49631966,4060086012
728046388613910529,182573469
2288895172,25858078
839430146612465664,2387543119
354302770,131574396
143431671,45013575
728736838484172800,51813111
109325484,3387706750
950543695358685185,715426594689589248
939152182611456000,40302603
948381409017819136,25704704
23882005,1202130601
65941323,2689114595
3078196437,296005306
3389347089,59326414
3389347089,59326414
724447405,715426594689589248
724447405,715426594689589248
1584633644,1540034828
84315725,2573916020
927712211258216454,33625790
53218484,1540034828
53218484,1540034828
159116444,60232046
714630606,514759265
2312565181,296005306
3364972979,60232046
772789569003655168,1540034828
762065449131597824,60232046
762065449131597824,60232046
4885717227,54745785
4885717227,54745785
916371915190820866,59326414
169274915,796894030500073472
2817197789,45013575
951798372993830913,1540034828
171723649,63225060
171723649,63225060
137305928,16632084
137305928,16632084
739866287355138048,2479861125
883737494180827138,45013575
4823628327,2479861125
3160917712,259096331
3157123546,51813111
3190080874,1540034828
2367282920,1540034828
753579301585448960,8519262
77217947,514759265
1621480026,4060086012
733070663381094402,60232046
704127907518685184,182573469
1004682049,729838464003379200
781375172,59326414
22262308,1202130601
939152182611456000,25704704
745615116,284652398
3348183443,259096331
960961593919057920,2479861125
325837470,63225060
817138167652425728,701904580259536897
1630873219,1540034828
2293668151,51813111
2293668151,51813111
838074036592705537,2387543119
4616879356,25704704
336330311,51813111
2677140075,67656004
3311072896,2795307903
3218276998,51813111
1663455025,4060086012
405598648,59326414
11519902,139612761
11519902,139612761
815009568468176896,25562342
3085255509,17031996
728736838484172800,412639849
354302770,1540034828
4595138665,183398510
4776294256,113029811
20645546,1202130601
890386596205387776,194121277
399395821,1202130601
1173603798,182573469
880898888349216770,25858078
3120411428,710825443927130112
2288895172,935034935290851328
1639164054,38873640
747541016949948416,4797121579
958701776219377664,884569952090562561
55685201,41622309
705905882073341952,901815139900510208
16579031,2479861125
950543695358685185,87021796
636690492,152325528
108333238,17121774
1598722802,1470196520
917013826981244929,628292465
917013826981244929,628292465
792701816,59326414
980385854,1540034828
980385854,1540034828
907542623304470531,1859367942
907542623304470531,1859367942
3201792010,1482333253
26000511,1540034828
2751138217,59326414
2751138217,59326414
432820242,935034935290851328
4861865638,59326414
3001317809,4060086012
4213561001,788794760764985344
88083739,1540034828
4180425020,59326414
3472348757,2479861125
170904720,1202130601
352602060,1540034828
866253465399570432,25704704
3411932111,708000120533553152
350412629,67656004
4828688159,4060086012
96261687,2479861125
728736838484172800,3387706750
3436948581,884569952090562561
322834294,1540034828
4244028707,219112689
3364972979,139612761
19889325,296005306
3593113642,60232046
3593113642,60232046
3593113642,60232046
33661488,1202130601
950543695358685185,1202130601
115559685,183398510
345551533,155891768
2182082047,25858078
3092479553,3387706750
841431193908367360,1540034828
95907269,1058911987
955934913236291584,3387706750
60238621,14583539
548045152,63225060
2369299760,1540034828
59675283,1540034828
285135148,63118359
956670821950541824,1202130601
3295899320,48197851
1395725881,839186516651945989
789476748136222725,316855707
3001183935,412639849
4745437005,3387706750
4745437005,3387706750
714308978185015296,25704704
714308978185015296,25704704
2748237971,112822128
2748237971,112822128
838074036592705537,3387706750
505946509,1202130601
785857117680963584,296005306
3593113642,764579337580453888
70864848,63759737
711012841,266230592
354302770,3387706750
2199968289,4060086012
2199968289,4060086012
1578098006,45013575
716957682142429184,1540034828
240704081,360657563
189230331,2479861125
846890282096377856,48197851
753579301585448960,38873640
995840910,2479861125
2159391698,1540034828
2844550109,849318173023363072
139177664,120588847
139177664,120588847
83846070,1540034828
35214277,1202130601
745615116,17031996
88083739,1202130601
1664015335,54745785
336330311,54745785
720565034,70816720
1630873219,1540034828
1630873219,1540034828
4244028707,51813111
4244028707,51813111
3157123546,154654109
950543695358685185,113029811
54612247,1202130601
353666928,2955875542
2867384606,111123176
853069571393286145,514759265
698876454222884865,17031996
698876454222884865,17031996
698876454222884865,17031996
753579301585448960,1540034828
3120411428,87021796
907201058,24361435
39136002,2479861125
319280971,25704704
3364972979,183234497
64453855,2479861125
913525203375984657,1540034828
295155524,583108053
295155524,583108053
